sacc pident length qstart qend sstart send bitscore evalue stitle
KF297339.1	100.000	18231	1	18231	138616	120386	33667	0.0
JX512204.1	100.000	18231	1	18231	138028	119798	33667	0.0
EF999921.1	100.000	18231	1	18231	170657	152427	33667	0.0
MT070140.1	100.000	18231	1	18231	138387	120157	33667	0.0
MW439038.1	100.000	18231	1	18231	138015	119785	33667	0.0
MW439039.1	100.000	18231	1	18231	138015	119785	33667	0.0
MT044484.1	99.989	18231	1	18231	137968	119738	33656	0.0
KX544839.1	99.951	18231	1	18231	170612	152388	33611	0.0
MT044481.1	99.775	18231	1	18231	138216	119988	33438	0.0
KP745712.1	99.583	18232	1	18231	137942	119714	33244	0.0
